#SampleID	PrimerNumber	Project	HostSpecies	SampleType	HostSampleType	Description
F346	289	Leucopaxillus	L.gentianeus	mat	L.gentianeus_mat	L.gentianeus.mat.A
F347	290	Leucopaxillus	L.gentianeus	mat	L.gentianeus_mat	L.gentianeus.mat.B
F348	291	Leucopaxillus	L.gentianeus	mat	L.gentianeus_mat	L.gentianeus.mat.C
F349	292	Leucopaxillus	L.gentianeus	mat	L.gentianeus_mat	L.gentianeus.mat.D
F350	293	Leucopaxillus	L.gentianeus	mat	L.gentianeus_mat	L.gentianeus.mat.E
F351	294	Leucopaxillus	L.gentianeus	mat	L.gentianeus_mat	L.gentianeus.mat.F
F352	295	Leucopaxillus	L.gentianeus	soil	L.gentianeus_soil	L.gentianeus.soil.A
F353	296	Leucopaxillus	L.gentianeus	soil	L.gentianeus_soil	L.gentianeus.soil.B
F354	297	Leucopaxillus	L.gentianeus	soil	L.gentianeus_soil	L.gentianeus.soil.C
F355	298	Leucopaxillus	L.gentianeus	soil	L.gentianeus_soil	L.gentianeus.soil.D
F356	299	Leucopaxillus	L.gentianeus	soil	L.gentianeus_soil	L.gentianeus.soil.E
F357	300	Leucopaxillus	L.gentianeus	soil	L.gentianeus_soil	L.gentianeus.soil.F
F358	301	Leucopaxillus	L.albissimus	mat	L.albissimus_mat	L.albissimus.mat.A
F359	302	Leucopaxillus	L.albissimus	mat	L.albissimus_mat	L.albissimus.mat.B
F360	303	Leucopaxillus	L.albissimus	mat	L.albissimus_mat	L.albissimus.mat.C
F361	304	Leucopaxillus	L.albissimus	mat	L.albissimus_mat	L.albissimus.mat.D
F362	305	Leucopaxillus	L.albissimus	mat	L.albissimus_mat	L.albissimus.mat.E
F363	306	Leucopaxillus	L.albissimus	mat	L.albissimus_mat	L.albissimus.mat.F
F364	307	Leucopaxillus	L.albissimus	soil	L.albissimus_soil	L.albissimus.soil.A
F365	308	Leucopaxillus	L.albissimus	soil	L.albissimus_soil	L.albissimus.soil.B
F366	309	Leucopaxillus	L.albissimus	soil	L.albissimus_soil	L.albissimus.soil.C
F367	310	Leucopaxillus	L.albissimus	soil	L.albissimus_soil	L.albissimus.soil.D
F368	311	Leucopaxillus	L.albissimus	soil	L.albissimus_soil	L.albissimus.soil.E
F369	312	Leucopaxillus	L.albissimus	soil	L.albissimus_soil	L.albissimus.soil.F
negative-leucopax-ITS	314	Leucopaxillus	negative-leucopax-ITS	negative-leucopax-ITS	negative-leucopax-ITS	negative-leucopax-ITS
positive-leucopax-ITS	313	Leucopaxillus	positive-leucopax-ITS	positive-leucopax-ITS	positive-leucopax-ITS	positive-leucopax-ITS
