SampleID	PrimerNumber	Set	Project	HostSpecies	SampleType	HostSampleType	Description
F346	49	1	Leucopaxillus	L.gentianeus	mat	L.gentianeus_mat	L.gentianeus.mat.A
F347	50	1	Leucopaxillus	L.gentianeus	mat	L.gentianeus_mat	L.gentianeus.mat.B
F348	51	1	Leucopaxillus	L.gentianeus	mat	L.gentianeus_mat	L.gentianeus.mat.C
F349	52	1	Leucopaxillus	L.gentianeus	mat	L.gentianeus_mat	L.gentianeus.mat.D
F350	53	1	Leucopaxillus	L.gentianeus	mat	L.gentianeus_mat	L.gentianeus.mat.E
F351	54	1	Leucopaxillus	L.gentianeus	mat	L.gentianeus_mat	L.gentianeus.mat.F
F352	55	1	Leucopaxillus	L.gentianeus	soil	L.gentianeus_soil	L.gentianeus.soil.A
F353	56	1	Leucopaxillus	L.gentianeus	soil	L.gentianeus_soil	L.gentianeus.soil.B
F354	57	1	Leucopaxillus	L.gentianeus	soil	L.gentianeus_soil	L.gentianeus.soil.C
F355	58	1	Leucopaxillus	L.gentianeus	soil	L.gentianeus_soil	L.gentianeus.soil.D
F356	59	1	Leucopaxillus	L.gentianeus	soil	L.gentianeus_soil	L.gentianeus.soil.E
F357	60	1	Leucopaxillus	L.gentianeus	soil	L.gentianeus_soil	L.gentianeus.soil.F
F358	61	1	Leucopaxillus	L.albissimus	mat	L.albissimus_mat	L.albissimus.mat.A
F359	62	1	Leucopaxillus	L.albissimus	mat	L.albissimus_mat	L.albissimus.mat.B
F360	63	1	Leucopaxillus	L.albissimus	mat	L.albissimus_mat	L.albissimus.mat.C
F361	64	1	Leucopaxillus	L.albissimus	mat	L.albissimus_mat	L.albissimus.mat.D
F362	65	1	Leucopaxillus	L.albissimus	mat	L.albissimus_mat	L.albissimus.mat.E
F363	66	1	Leucopaxillus	L.albissimus	mat	L.albissimus_mat	L.albissimus.mat.F
F364	67	1	Leucopaxillus	L.albissimus	soil	L.albissimus_soil	L.albissimus.soil.A
F365	68	1	Leucopaxillus	L.albissimus	soil	L.albissimus_soil	L.albissimus.soil.B
F366	69	1	Leucopaxillus	L.albissimus	soil	L.albissimus_soil	L.albissimus.soil.C
F367	70	1	Leucopaxillus	L.albissimus	soil	L.albissimus_soil	L.albissimus.soil.D
F368	71	1	Leucopaxillus	L.albissimus	soil	L.albissimus_soil	L.albissimus.soil.E
F369	72	1	Leucopaxillus	L.albissimus	soil	L.albissimus_soil	L.albissimus.soil.F
