"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"24c6f93754d58077cc55a14fcd672dd7",42.7459759247825,-3.63672459055651,0.951591276971606,-3.82172964230002,0.000132518929355738,0.00314669948290935,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured","uncultured_bacterium"
"f06a1652d27c14990509922d1d6f4ee7",32.5942340995002,-5.69819662340312,0.958184698297459,-5.94686664640743,2.73323901942694e-09,4.01616579293443e-07,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured","uncultured_bacterium"
"1b2022ea7793aa6d0ef7752a89c270ba",6.86550468683388,-3.34297223117482,0.924302478939366,-3.6167513420616,0.000298323634488785,0.00600704470406617,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter",NA
"0e8d282c9c0d5f07fb9dd062bbfe1858",52.3689712701921,-3.80919625259059,1.04336028932086,-3.65089249761467,0.000261330613940827,0.00539155045318903,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","uncultured_Comamonadaceae"
"9e90dacae76f046e743237822bc5b396",4.86772260215528,-2.78730630939279,0.896443049546659,-3.10929546589977,0.00187534076962698,0.027205952260237,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","uncultured","uncultured_bacterium"
"9200de0e332e076832e1ea7a13c3e96f",45.2993899710026,-5.95517847345864,1.02078137990838,-5.8339411265448,5.4133228682245e-09,6.46437324029381e-07,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured",NA
"a004d1b223acf0c0d5492405747e51e9",6.40449510851871,-3.23242386983471,0.913707451590452,-3.53770111451775,0.000403626669064543,0.00784500637865216,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","A4b","uncultured_soil"
"b4c901f8b78741a9aa82fdcc183ee785",7.03735036263476,3.38431602301324,0.923245285164299,3.66567376773657,0.000246688238385514,0.00517564018300935,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_johnsonii"
"aeb21955981c652e01fce0bb43c98ef0",45.7671958307083,-6.19586676954304,1.0232423139367,-6.05513150223999,1.40303000985012e-09,2.3542843565285e-07,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia",NA
"367d7d53083ecccf2e0efe64fb2959d9",28.212976596476,5.48778408314764,0.987760864825936,5.55578205066335,2.76371546083189e-08,2.44079712803995e-06,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_taichungensis"
"a61eb5b18c268caf71c93a0286081fcb",6.15389357454706,3.17095540800884,0.870547117773845,3.64248567741811,0.000270018006086037,0.00554804343933514,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Puia",NA
"fceef0d08325869a8aff4473f77dfa90",107.823304517275,-4.92513996167778,1.08785396433018,-4.52739073733148,5.9716459950795e-06,0.000233033069296358,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Luteibacter",NA
"712115a29f0de0f2b9bcc50c2b8c12f7",5.27994171328712,-2.92074934523047,0.883358169073341,-3.30641572975364,0.000944977699965106,0.0157654001646019,"Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41",NA
"daf0f65894d79172d2bede5c89955c7d",20.9564568501845,-2.94372832549746,0.980089654199353,-3.00352963923717,0.00266867553310239,0.03526013814603,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter","uncultured_proteobacterium"
"755f46c9328f1cde4e5ed2d7607b6e00",12.6081000170874,-4.28319983478849,0.933991303203481,-4.58590976179073,4.52013812993069e-06,0.000188052688810505,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA
"5fe898ab85818718e15d877d97867440",5.28342185235458,2.92427057759203,0.88332354979424,3.31053165997126,0.000931189175082535,0.015677613068112,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"a77793873e98382883d92d938e0d2ea4",5.89226224372409,-3.09875865278793,0.900760363355779,-3.4401587579226,0.000581373053928407,0.0105654583157964,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"c11f4629daa99d3864f64b1e0dbf5b2f",14.3991776131953,-4.48402652672898,0.986876616109587,-4.54365465097924,5.52872092846279e-06,0.000219328952542549,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","uncultured_bacterium"
"75dbe272b426ba637804e5570efd2ed1",10.3067171767519,3.97807837591938,0.944180071836209,4.21326237926516,2.51708376544467e-05,0.000777361943266778,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas_aerilata"
"6a7fd5f57a8c511e3202460f44bb915d",39.0934618645075,-5.96511999069395,1.01183637733653,-5.89534051582138,3.73909496905064e-09,4.82630873697459e-07,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","uncultured","uncultured_Alphaproteobacteria"
"90501d152cd903da5ac1b95e74a78ed4",8.87071597132783,3.74673001657735,0.92419270964232,4.05405710030694,5.03369210083189e-05,0.00139228604591141,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"2cbb9424a62c980e94c426de658efc49",4.05148676974521,2.48232847882064,0.839334133774481,2.95749735288094,0.00310147412024753,0.0400328736444258,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured",NA
"d1cd01c5797645daf0335dd13106edee",44.8965600121882,-3.14366240944263,1.01860742819894,-3.08623550389883,0.00202708201599677,0.0287445939958528,"Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","uncultured_actinobacterium"
"fa45d4de2a200f2da8d9e86edc4d631f",12.091985633035,-3.98448109970957,0.856024895342841,-4.65463226757415,3.24559435398041e-06,0.000145877874803013,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter","uncultured_bacterium"
"37cc70f4e6f8d54bf08448023d77a39d",7.22406769219012,-3.42345534379179,0.931938160476983,-3.67347908796825,0.000239270267366722,0.0050736555890997,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia","uncultured_bacterium"
"1bc815a89e470607e72cd2fe749f3bb4",4.20618068471541,2.54581165872982,0.845701133421987,3.01029708737485,0.00260992270067203,0.0349424225403804,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"21384b1952548480d90157289f10dc99",10.0941542931132,-3.94381192218105,0.905961882914576,-4.35317643772537,1.3417907501601e-05,0.00047567427016239,"Bacteria","Acidobacteriota","Blastocatellia","DS-100","DS-100","DS-100","uncultured_bacterium"
"de01bdca1a2177098ed93ef6ccc3ffe9",36.9591806144702,-5.88278675583128,1.00804116449724,-5.83585964841558,5.3513929547978e-09,6.46437324029381e-07,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured",NA
"e6902dbbd399d160f6d9902bc6217935",10.7144125480678,-4.03523590133371,0.949512192377957,-4.24979893225791,2.13962491081021e-05,0.000697239490676984,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_xinghaiensis"
"b561621863aa986adcaf918e3d770b11",5.38244800541861,-2.95211364269702,0.886439135160078,-3.33030608149302,0.000867505657539151,0.0147534577028787,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","uncultured_Comamonadaceae"
"03ed47fb1370c1890428a81aec3581f2",24.5784727607365,5.28405320478385,1.06966944078027,4.93989358145017,7.81652187143318e-07,4.14193380008364e-05,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_xinghaiensis"
"f5a68ce4518a7bef467fee2f1eee340c",11.5912671280452,3.21407176990108,0.915295182718568,3.51151391440168,0.000445562137366104,0.00852836425665767,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
