"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ef679eaed44043a33fd7b5775787567e",56.9117322214854,6.21807563388839,1.3772968243876,4.5146953973797,6.34078361694367e-06,6.72703440710457e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella",NA
"5d9556e72ccb8dfaad7142dd5ad738df",22.4370735022244,-4.85260957111082,1.36769203981017,-3.54802794040122,0.000388127046231382,0.000770328488703506,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter",NA
"a61eb5b18c268caf71c93a0286081fcb",21.7514576685662,4.79881930201127,1.27567501960284,3.76178825192116,0.000168702846792254,0.000413799435528171,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Puia",NA
"04eb125a70ebeec204ca9041448e8229",20.3654057183559,4.70030764658139,1.34956719982423,3.48282593648806,0.000496150845178219,0.000877545712560114,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata","bacterium_enrichment"
"5fe898ab85818718e15d877d97867440",34.3715828022135,5.47781353108478,1.41940231951105,3.85923952341557,0.000113740416823913,0.000311289561833866,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"50907a424c5d238cc32ba6bed701996a",35.6026492636595,5.5297070469863,1.41906289028516,3.896731487267,9.74996137154255e-05,0.000282528036312817,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera",NA
"75dbe272b426ba637804e5570efd2ed1",45.0083010814382,5.87441355387157,1.35334244366707,4.3406704499373,1.42048629689174e-05,9.00796188272812e-05,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas_aerilata"
"90501d152cd903da5ac1b95e74a78ed4",39.9814424266358,5.70046831914388,1.34420774217036,4.24076438507926,2.2275987622389e-05,0.000109278429845682,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"2cbb9424a62c980e94c426de658efc49",18.2427473985723,4.53504370623824,1.33361729058555,3.40055856972808,0.000672483277085102,0.00106613202464711,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured",NA
"89eeab2fa9417ed373e2454cdb165cce",19.0375048718217,-4.60666557567298,1.33873892755019,-3.44104849785977,0.000579464660869918,0.000959623005262284,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae",NA,NA
"868cdc77f655517ab2b014df78ae7633",25.1579651430319,5.01568789538455,1.3844737008819,3.62281196976843,0.000291417664815146,0.000620150776722262,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"7d5ddb0112341eacc615e45a0584d26e",19.3743293051525,4.62548273670327,1.34170322819923,3.44747082625072,0.000565861515883049,0.000943102526471748,"Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus_Solibacter","uncultured_forest"
"1bc815a89e470607e72cd2fe749f3bb4",55.5171239479152,6.1817985174286,1.3824484202273,4.47163049773111,7.76254677516178e-06,7.20807914836451e-05,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage",NA
"03ed47fb1370c1890428a81aec3581f2",392.997188103049,-9.0294188584497,1.59734964575554,-5.65275040592557,1.57900517289617e-08,5.13176681191256e-07,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_xinghaiensis"
"f5a68ce4518a7bef467fee2f1eee340c",50.298517074395,6.03731290047634,1.36708385020458,4.41619795272462,1.00452100029335e-05,7.79320273940638e-05,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"f3e33317f8c5ac9670ca9115fb22482b",74.9985131758247,-6.62809371786233,1.51247207158409,-4.38229164186839,1.17437458938652e-05,7.82916392924349e-05,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","uncultured_Pirellula"
"e8f5f85d33acfceb81821c7b955c5391",45.3824901372935,5.88656438479087,1.26633630219606,4.64850006635876,3.34357514127424e-06,4.57541861437528e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella","uncultured_Dokdonella"
"fe7d9417b9682f495aa993775eb2e035",21.4307881693949,-4.78407208405178,1.35866250103332,-3.5211629675606,0.00042965846912536,0.000802141494387715,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","uncultured_bacterium"
"90a35737616ba0b3b2d8442fcb3bf356",36.7449186368953,5.57623040976948,1.4233023181604,3.91781165436216,8.93564794574795e-05,0.000272974696713713,"Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","uncultured_bacterium"
"1b7ccc4fad4127239c16a02117a62365",28.6460102010697,5.20843687091073,1.3982782236309,3.72489307413085,0.00019539802681137,0.000447120236042803,"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured_bacterium"
"2dd0f0996500ba5f6ec7b393db7a63fa",51.6322720659944,6.07564541110958,1.36823668189428,4.44049300205724,8.97530235899592e-06,7.72057573507035e-05,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces_xinghaiensis"
"26edce73ba76b205363b90ebe409bedb",48.1041462704892,5.97196710064192,1.45566714906444,4.10256362828557,4.08597437419218e-05,0.000163438974967687,"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","uncultured","uncultured_bacterium"
"89f83592b9d562cb4d7107310aa32c26",30.7724668171237,5.31443574849402,1.40483362030748,3.78296452453268,0.000154971508948281,0.000395025414966207,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"6b5cbb707a3f77e197ec52e7b6fb34f0",22.636795560293,4.85838506570618,1.37039874640688,3.54523461032393,0.00039226377552193,0.000772640769967438,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"54583b423b6903e8a0abe8ac34c897b7",19.8064655901975,-4.66605904446031,1.34907151933549,-3.45871881333516,0.00054275120721733,0.000916333206990298,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1",NA
"dfe0960bb475061d36fbb77202230866",76.5310233878113,-6.65756655039675,1.51757482114692,-4.38697747064968,1.14936689655096e-05,7.82916392924349e-05,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured",NA
"c18fa306176f4afeb12e7d1c219a1492",25.0025913778877,5.00649759189846,1.38259899055607,3.62107713523275,0.000293379021295532,0.000620150776722262,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured_bacterium"
