OTUID	F346	F347	F348	F350	F351	F352	F353	F354	F355	F356	F357	F358	F359	F360	F361	F362	F363	F364	F365	F366	F367	F368	F369	taxonomy
fb8dc54236be19f0306b6231b39089d5	0	0	0	0	0	0	5	13	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Chytridiomycota; c__Lobulomycetes; o__Lobulomycetales; f__unidentified; g__unidentified; s__unidentified
39a6409bd52fa38465e236553809054a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes
1e9e816f5941367f4f86ae1f0424f75f	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Rozellomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
f7c75cc6ea5ffc3d7000be2c1a620798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Capronia; s__unidentified
883e294c07e619521e864edd489c84f8	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Myrtapenidiella
072b88125218d0722adb687ed64a500e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
53c83b189c37fd3296a684b2b145ef05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	3	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes
9964eaf702b032d4f8c8366f195c8ce4	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe
4f6edb79763b1dd49531ef5d19164b7b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales
21f0dae56b3c70d0e875d7560800b66b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales
